129,Tires,2012-03-19,50,1,257
130,On board computer,2012-04-03,20,2,259
131,Laser Wheel Alignment,2012-04-05,20,2,261
132,Sensors,2012-03-22,100,1,263
133,On board computer,2012-04-11,20,2,265
134,Gearbox,2012-04-08,20,1,267
135,Light,2012-03-31,20,1,269
136,Exhaust,2012-04-09,100,3,271
137,Saftey Bag,2012-03-27,50,3,273
138,Battery,2012-04-04,20,1,275
139,Body Paint,2012-04-09,20,5,277
140,GPS,2012-03-21,100,4,279
141,Transmission,2012-03-23,50,1,281
142,Regular maintenance,2012-04-07,50,5,283
143,Body Paint,2012-03-27,20,4,285
144,Lock,2012-03-28,20,4,287
145,Panel Beating,2012-03-22,50,3,289
146,Breaks,2012-03-25,100,5,291
147,Transmission,2012-04-05,50,4,293
148,Transmission,2012-04-01,50,2,295
149,Regular maintenance,2012-03-24,50,1,297
150,Lock,2012-03-21,20,2,299
151,GPS,2012-04-09,100,5,301
152,Wheel Replacement,2012-04-12,100,4,303
153,Body Part Replacement,2012-03-25,100,3,305
154,Battery,2012-03-29,20,5,307
155,Engine Breakdown,2012-03-23,100,3,309
156,Engine Breakdown,2012-03-30,100,3,311
157,Sensors,2012-04-14,100,4,313
158,Laser Wheel Alignment,2012-03-31,20,5,315
159,Regular maintenance,2012-04-11,50,4,317
160,Laser Wheel Alignment,2012-04-01,20,5,319
161,Body Part Replacement,2012-04-06,100,1,321
162,GPS,2012-04-05,100,5,323
163,Security System,2012-03-27,50,1,325
164,Regular maintenance,2012-04-07,50,2,327
165,Light,2012-04-06,20,1,329
166,Exhaust,2012-04-07,100,3,331
167,Regular maintenance,2012-04-06,50,2,333
168,Tires,2012-03-30,50,4,335
169,Light,2012-03-26,20,4,337
170,Gearbox,2012-04-02,20,4,339
171,Breaks,2012-03-25,100,2,341
172,Gearbox,2012-04-02,20,5,343
173,Body Paint,2012-04-15,20,1,345
174,Pre-NCT,2012-04-12,20,3,347
175,Gearbox,2012-04-05,20,3,349
176,Gearbox,2012-03-25,20,3,351
177,GPS,2012-03-24,100,3,353
178,Panel Beating,2012-04-14,50,1,355
179,On board computer,2012-04-11,20,4,357
180,Electronics Electric Circuits,2012-03-26,50,4,359
181,Wheel Replacement,2012-03-23,100,2,361
182,Lock,2012-03-24,20,2,363
183,Body Paint,2012-04-02,20,1,365
184,Breaks,2012-03-23,100,1,367
185,Transmission,2012-04-03,50,2,369
186,On board computer,2012-04-02,20,3,371
187,Wheel Replacement,2012-03-24,100,2,373
188,Engine Breakdown,2012-03-31,100,1,375
189,Air con,2012-04-08,100,2,377
190,Lock,2012-03-31,20,2,379
191,Panel Beating,2012-03-26,50,1,381
192,Body Paint,2012-04-04,20,2,383
193,Breaks,2012-04-14,100,5,385
194,Regular maintenance,2012-03-30,50,2,387
195,Gearbox,2012-04-10,20,2,389
196,Regular maintenance,2012-04-11,50,3,391
197,Engine Breakdown,2012-03-31,100,4,393
198,Pre-NCT,2012-03-25,20,1,395
199,Sensors,2012-04-10,100,4,397
200,Gearbox,2012-04-09,20,1,399
201,Regular maintenance,2012-04-03,50,4,401
202,Battery,2012-04-01,20,1,403
203,Body Paint,2012-04-03,20,3,405
204,Regular maintenance,2012-03-30,50,4,407
205,Laser Wheel Alignment,2012-03-26,20,5,409
206,Saftey Bag,2012-04-13,50,3,411
207,Security System,2012-03-23,50,3,413
208,Breaks,2012-04-09,100,2,415
209,Body Part Replacement,2012-03-30,100,3,417
210,Pre-NCT,2012-04-10,20,2,419
211,Lock,2012-04-10,20,2,421
212,Light,2012-03-29,20,1,423
213,Security System,2012-03-26,50,3,425
214,Breaks,2012-04-15,100,5,427
215,Exhaust,2012-04-08,100,5,429
216,Battery,2012-04-02,20,3,431
217,Tires,2012-03-31,50,4,433
218,Sensors,2012-04-14,100,5,435
219,Gearbox,2012-03-24,20,1,437
220,Body Part Replacement,2012-04-13,100,1,439
221,On board computer,2012-04-09,20,4,441
222,Body Part Replacement,2012-04-08,100,4,443
223,Light,2012-04-12,20,2,445
224,Tires,2012-04-03,50,1,447
225,Regular maintenance,2012-03-29,50,1,449
226,Saftey Bag,2012-04-08,50,2,451
227,Exhaust,2012-04-08,100,3,453
228,Battery,2012-04-13,20,3,455
229,Light,2012-04-02,20,5,457
230,On board computer,2012-04-05,20,2,459
231,Gearbox,2012-04-03,20,4,461
232,Transmission,2012-04-11,50,2,463
233,Light,2012-03-27,20,1,465
234,Saftey Bag,2012-04-13,50,3,467
235,Electronics Electric Circuits,2012-04-05,50,3,469
236,Saftey Bag,2012-04-11,50,4,471
237,Electronics Electric Circuits,2012-04-13,50,1,473
238,Pre-NCT,2012-04-02,20,2,475
239,Engine Breakdown,2012-04-10,100,1,477
240,Pre-NCT,2012-04-06,20,1,479
241,Steering,2012-04-03,50,5,481
242,Pre-NCT,2012-03-31,20,2,483
243,On board computer,2012-04-04,20,1,485
244,Saftey Bag,2012-04-13,50,3,487
245,Battery,2012-04-02,20,2,489
246,GPS,2012-03-26,100,2,491
247,Pre-NCT,2012-04-07,20,3,493
248,Light,2012-04-13,20,1,495
249,On board computer,2012-03-26,20,2,497
250,Security System,2012-04-04,50,1,499
251,Battery,2012-03-31,20,2,501
252,On board computer,2012-04-04,20,4,503
253,Battery,2012-04-17,20,4,505
254,Air con,2012-03-29,100,1,507
255,Electronics Electric Circuits,2012-04-05,50,2,509
256,Security System,2012-04-10,50,3,511
257,Laser Wheel Alignment,2012-04-07,20,1,513
258,Gearbox,2012-04-17,20,2,515
259,Battery,2012-04-15,20,2,517
260,Steering,2012-04-11,50,3,519
261,Exhaust,2012-04-18,100,2,521
262,GPS,2012-04-17,100,4,523
263,Transmission,2012-04-09,50,1,525
264,Air con,2012-03-31,100,1,527
265,Breaks,2012-04-14,100,1,529
266,Transmission,2012-04-18,50,4,531
267,Laser Wheel Alignment,2012-04-14,20,5,533
268,Exhaust,2012-04-10,100,4,535
269,Body Part Replacement,2012-04-06,100,3,537
270,Regular maintenance,2012-04-15,50,5,539
271,Breaks,2012-04-04,100,1,541
272,Transmission,2012-04-06,50,1,543
273,Breaks,2012-03-31,100,5,545
274,Steering,2012-04-13,50,4,547
275,Wheel Replacement,2012-03-27,100,5,549
276,Electronics Electric Circuits,2012-04-03,50,5,551
277,Steering,2012-04-09,50,2,553
278,GPS,2012-04-10,100,5,555
279,Body Part Replacement,2012-04-18,100,2,557
280,Gearbox,2012-04-05,20,2,559
281,Body Part Replacement,2012-04-08,100,1,561
282,Gearbox,2012-04-18,20,2,563
283,Saftey Bag,2012-04-09,50,4,565
284,Gearbox,2012-04-13,20,2,567
285,Steering,2012-03-29,50,5,569
286,Electronics Electric Circuits,2012-03-30,50,2,571
287,Gearbox,2012-04-07,20,5,573
288,Transmission,2012-04-08,50,1,575
289,Steering,2012-04-18,50,5,577
290,Transmission,2012-04-10,50,4,579
291,Pre-NCT,2012-04-07,20,1,581
292,Laser Wheel Alignment,2012-03-28,20,1,583
293,Steering,2012-04-09,50,4,585
294,Steering,2012-04-01,50,2,587
295,Body Part Replacement,2012-03-31,100,4,589
296,Pre-NCT,2012-04-12,20,4,591
297,Body Part Replacement,2012-04-10,100,1,593
298,Transmission,2012-03-30,50,2,595
299,Pre-NCT,2012-04-13,20,2,597
300,Engine Breakdown,2012-04-16,100,4,599
301,Lock,2012-04-13,20,4,1
302,Panel Beating,2012-03-27,50,3,3
303,Lock,2012-03-27,20,2,5
304,Gearbox,2012-04-13,20,2,7
305,Tires,2012-03-29,50,1,9
306,Laser Wheel Alignment,2012-03-28,20,1,11
307,Pre-NCT,2012-04-14,20,1,13
308,Exhaust,2012-03-29,100,5,15
309,Battery,2012-04-13,20,1,17
310,On board computer,2012-04-05,20,3,19
311,Breaks,2012-04-10,100,4,21
312,Air con,2012-04-02,100,5,23
313,GPS,2012-04-02,100,5,25
314,Tires,2012-04-03,50,3,27
315,Transmission,2012-04-02,50,5,29
316,Air con,2012-04-01,100,1,31
317,On board computer,2012-04-04,20,2,33
318,Light,2012-04-08,20,3,35
319,Wheel Replacement,2012-04-15,100,1,37
320,Gearbox,2012-04-09,20,3,39
321,Electronics Electric Circuits,2012-04-08,50,5,41
322,Lock,2012-04-17,20,4,43
323,Panel Beating,2012-04-11,50,4,45
324,Sensors,2012-04-17,100,3,47
325,Body Paint,2012-03-31,20,1,49
326,Wheel Replacement,2012-04-05,100,1,51
327,Wheel Replacement,2012-04-12,100,1,53
328,Gearbox,2012-04-08,20,4,55
329,Saftey Bag,2012-04-20,50,4,57
330,Air con,2012-04-19,100,1,59
331,Body Paint,2012-04-13,20,5,61
332,Electronics Electric Circuits,2012-04-05,50,1,63
333,Light,2012-04-05,20,1,65
334,Transmission,2012-04-01,50,1,67
335,On board computer,2012-04-06,20,4,69
336,Gearbox,2012-03-31,20,2,71
337,Panel Beating,2012-04-05,50,3,73
338,Steering,2012-04-18,50,5,75
339,Electronics Electric Circuits,2012-04-05,50,2,77
340,Battery,2012-04-12,20,2,79
341,Steering,2012-04-20,50,1,81
342,Electronics Electric Circuits,2012-03-28,50,5,83
343,Gearbox,2012-03-31,20,5,85
344,GPS,2012-04-14,100,1,87
345,Security System,2012-04-17,50,2,89
346,Breaks,2012-04-11,100,4,91
347,Body Paint,2012-04-15,20,3,93
348,Saftey Bag,2012-04-06,50,5,95
349,Pre-NCT,2012-04-08,20,1,97
350,Transmission,2012-04-07,50,2,99
351,Body Paint,2012-04-12,20,4,101
352,Battery,2012-04-21,20,4,103
353,Regular maintenance,2012-04-08,50,3,105
354,GPS,2012-04-01,100,1,107
355,Sensors,2012-04-05,100,2,109
356,Regular maintenance,2012-04-17,50,2,111
357,GPS,2012-04-10,100,2,113
358,Sensors,2012-04-08,100,1,115
359,Air con,2012-04-20,100,3,117
360,Battery,2012-04-16,20,3,119
361,Engine Breakdown,2012-04-01,100,4,121
362,Laser Wheel Alignment,2012-04-08,20,5,123
363,Pre-NCT,2012-04-21,20,2,125
364,Transmission,2012-04-20,50,5,127
365,On board computer,2012-04-14,20,4,129
366,Sensors,2012-03-29,100,2,131
367,Electronics Electric Circuits,2012-04-01,50,5,133
368,Body Part Replacement,2012-04-09,100,2,135
369,Regular maintenance,2012-04-10,50,4,137
370,Body Paint,2012-04-01,20,4,139
371,Wheel Replacement,2012-03-30,100,2,141
372,Pre-NCT,2012-04-15,20,3,143
373,Panel Beating,2012-04-14,50,3,145
374,Light,2012-03-29,20,2,147
375,GPS,2012-04-08,100,3,149
376,Saftey Bag,2012-04-09,50,1,151
377,Engine Breakdown,2012-04-09,100,5,153
378,Battery,2012-04-16,20,2,155
379,Gearbox,2012-04-15,20,5,157
380,Body Part Replacement,2012-04-12,100,2,159
381,Gearbox,2012-04-21,20,2,161
382,Battery,2012-04-10,20,4,163
383,Tires,2012-04-18,50,4,165
384,Sensors,2012-04-19,100,3,167
385,Tires,2012-04-15,50,3,169
386,Breaks,2012-04-20,100,2,171
387,On board computer,2012-04-02,20,2,173
388,Gearbox,2012-04-03,20,1,175
389,Sensors,2012-04-05,100,2,177
390,Body Part Replacement,2012-04-03,100,1,179
391,On board computer,2012-04-07,20,5,181
392,Light,2012-04-12,20,2,183
393,Security System,2012-04-15,50,2,185
394,Lock,2012-04-05,20,1,187
395,Battery,2012-03-31,20,3,189
396,On board computer,2012-04-11,20,4,191
397,Electronics Electric Circuits,2012-04-03,50,1,193
398,Laser Wheel Alignment,2012-04-01,20,3,195
399,Wheel Replacement,2012-04-02,100,3,197
400,Panel Beating,2012-04-19,50,4,199
401,Regular maintenance,2012-04-11,50,4,201
402,Battery,2012-04-01,20,5,203
403,Wheel Replacement,2012-04-07,100,5,205
404,Wheel Replacement,2012-04-05,100,5,207
405,Breaks,2012-04-15,100,2,209
406,Tires,2012-04-01,50,4,211
407,On board computer,2012-04-10,20,1,213
408,Air con,2012-04-17,100,4,215
409,Air con,2012-04-13,100,1,217
410,Security System,2012-04-13,50,5,219
411,Air con,2012-04-13,100,4,221
412,Laser Wheel Alignment,2012-04-16,20,3,223
413,Steering,2012-04-03,50,2,225
414,On board computer,2012-04-21,20,3,227
415,Security System,2012-04-13,50,4,229
416,Wheel Replacement,2012-04-05,100,4,231
417,Transmission,2012-03-31,50,5,233
418,Lock,2012-04-05,20,2,235
419,On board computer,2012-04-10,20,3,237
420,Air con,2012-03-31,100,4,239
421,Body Part Replacement,2012-04-10,100,2,241
422,Body Part Replacement,2012-03-31,100,3,243
423,Security System,2012-03-30,50,2,245
424,Saftey Bag,2012-04-09,50,1,247
425,Steering,2012-04-05,50,3,249
426,Engine Breakdown,2012-04-05,100,1,251
427,Body Part Replacement,2012-04-05,100,5,253
428,Pre-NCT,2012-04-16,20,5,255
429,Transmission,2012-04-18,50,2,257
430,Panel Beating,2012-04-16,50,2,259
431,Steering,2012-04-16,50,5,261
432,Battery,2012-04-21,20,5,263
433,Engine Breakdown,2012-04-02,100,3,265
434,Transmission,2012-04-20,50,3,267
435,Breaks,2012-04-18,100,5,269
436,On board computer,2012-04-09,20,1,271
437,Body Paint,2012-04-01,20,1,273
438,Regular maintenance,2012-03-31,50,1,275
439,On board computer,2012-04-14,20,1,277
440,Transmission,2012-04-09,50,4,279
441,Saftey Bag,2012-04-08,50,4,281
442,On board computer,2012-04-12,20,5,283
443,Regular maintenance,2012-04-22,50,1,285
444,Steering,2012-04-06,50,5,287
445,Light,2012-04-20,20,5,289
446,Breaks,2012-04-23,100,4,291
447,Sensors,2012-04-14,100,4,293
448,Transmission,2012-04-21,50,4,295
449,Lock,2012-04-21,20,4,297
450,Laser Wheel Alignment,2012-04-16,20,3,299
451,Battery,2012-04-23,20,3,301
452,Panel Beating,2012-04-18,50,1,303
453,Battery,2012-04-24,20,3,305
454,Exhaust,2012-04-21,100,1,307
455,Body Part Replacement,2012-04-11,100,1,309
456,Lock,2012-04-24,20,5,311
457,Regular maintenance,2012-04-10,50,2,313
458,Electronics Electric Circuits,2012-04-02,50,3,315
459,Electronics Electric Circuits,2012-04-08,50,4,317
460,Regular maintenance,2012-04-12,50,4,319
461,Breaks,2012-04-14,100,3,321
462,Electronics Electric Circuits,2012-04-16,50,2,323
463,Pre-NCT,2012-04-22,20,1,325
464,Engine Breakdown,2012-04-07,100,3,327
465,Saftey Bag,2012-04-22,50,2,329
466,Security System,2012-04-16,50,4,331
467,Regular maintenance,2012-04-12,50,5,333
468,Pre-NCT,2012-04-21,20,5,335
469,Transmission,2012-04-20,50,1,337
470,Exhaust,2012-04-21,100,4,339
471,Electronics Electric Circuits,2012-04-04,50,1,341
472,Panel Beating,2012-04-08,50,4,343
473,Pre-NCT,2012-04-10,20,3,345
474,Saftey Bag,2012-04-08,50,5,347
475,Regular maintenance,2012-04-20,50,4,349
476,Engine Breakdown,2012-04-12,100,1,351
477,Body Part Replacement,2012-04-10,100,4,353
478,Gearbox,2012-04-05,20,3,355
479,Wheel Replacement,2012-04-19,100,3,357
480,Steering,2012-04-13,50,3,359
481,Tires,2012-04-19,50,5,361
482,Body Part Replacement,2012-04-06,100,5,363
483,Breaks,2012-04-17,100,4,365
484,Saftey Bag,2012-04-08,50,1,367
485,Regular maintenance,2012-04-18,50,2,369
486,Body Paint,2012-04-20,20,3,371
487,Gearbox,2012-04-27,20,2,373
488,Body Part Replacement,2012-04-10,100,4,375
489,Engine Breakdown,2012-04-12,100,4,377
490,Lock,2012-04-04,20,4,379
491,Lock,2012-04-24,20,1,381
492,Regular maintenance,2012-04-13,50,1,383
493,Steering,2012-04-09,50,5,385
494,Engine Breakdown,2012-04-08,100,5,387
495,Saftey Bag,2012-04-11,50,5,389
496,Breaks,2012-04-18,100,2,391
497,Laser Wheel Alignment,2012-04-17,20,5,393
498,Body Part Replacement,2012-04-24,100,2,395
499,Lock,2012-04-17,20,5,397
500,Engine Breakdown,2012-04-21,100,2,399
501,Body Paint,2012-04-24,20,4,401
502,Regular maintenance,2012-04-19,50,2,403
503,On board computer,2012-04-23,20,2,405
504,Panel Beating,2012-04-15,50,5,407
505,Body Part Replacement,2012-04-07,100,2,409
506,Security System,2012-04-11,50,1,411
507,Light,2012-04-24,20,3,413
508,Electronics Electric Circuits,2012-04-07,50,1,415
509,Air con,2012-04-25,100,5,417
510,Steering,2012-04-27,50,3,419
511,Breaks,2012-04-24,100,4,421
512,Body Paint,2012-04-06,20,3,423
513,Body Paint,2012-04-09,20,5,425
514,Electronics Electric Circuits,2012-04-24,50,4,427
515,Exhaust,2012-04-27,100,1,429
516,Security System,2012-04-12,50,3,431
517,Laser Wheel Alignment,2012-04-26,20,2,433
518,Body Part Replacement,2012-04-11,100,3,435
519,Body Paint,2012-04-10,20,5,437
520,Laser Wheel Alignment,2012-04-26,20,5,439
521,Lock,2012-04-05,20,3,441
522,Exhaust,2012-04-10,100,5,443
523,Steering,2012-04-08,50,2,445
524,Tires,2012-04-24,50,5,447
525,Sensors,2012-04-27,100,4,449
526,Body Part Replacement,2012-04-10,100,2,451
527,Electronics Electric Circuits,2012-04-10,50,4,453
528,Laser Wheel Alignment,2012-04-16,20,3,455
529,Wheel Replacement,2012-04-06,100,5,457
530,Wheel Replacement,2012-04-13,100,1,459
531,On board computer,2012-04-21,20,1,461
532,Body Paint,2012-04-20,20,1,463
533,Wheel Replacement,2012-04-06,100,1,465
534,Regular maintenance,2012-04-05,50,3,467
535,Lock,2012-04-13,20,4,469
536,Transmission,2012-04-08,50,4,471
537,Laser Wheel Alignment,2012-04-11,20,1,473
538,Exhaust,2012-04-18,100,5,475
539,Transmission,2012-04-07,50,5,477
540,Laser Wheel Alignment,2012-04-22,20,2,479
541,Body Part Replacement,2012-04-16,100,2,481
542,Breaks,2012-04-08,100,4,483
543,GPS,2012-04-26,100,4,485
544,Tires,2012-04-20,50,3,487
545,Engine Breakdown,2012-04-22,100,3,489
546,Sensors,2012-04-08,100,1,491
547,Transmission,2012-04-19,50,5,493
548,Exhaust,2012-04-13,100,5,495
549,Air con,2012-04-07,100,4,497
550,Security System,2012-04-27,50,2,499
551,Engine Breakdown,2012-04-21,100,1,501
552,Pre-NCT,2012-04-13,20,4,503
553,Saftey Bag,2012-04-29,50,5,505
554,GPS,2012-04-29,100,5,507
555,Battery,2012-04-13,20,5,509
556,Saftey Bag,2012-04-07,50,4,511
557,Saftey Bag,2012-04-23,50,3,513
558,Steering,2012-04-10,50,5,515
559,Gearbox,2012-04-10,20,3,517
560,On board computer,2012-04-29,20,3,519
561,Engine Breakdown,2012-04-07,100,2,521
562,Saftey Bag,2012-04-11,50,5,523
563,GPS,2012-04-17,100,1,525
564,Engine Breakdown,2012-04-21,100,5,527
565,Exhaust,2012-04-29,100,1,529
566,Panel Beating,2012-04-21,50,4,531
567,Light,2012-04-14,20,2,533
568,Air con,2012-04-30,100,2,535
569,Lock,2012-04-14,20,1,537
570,Laser Wheel Alignment,2012-04-27,20,3,539
571,Air con,2012-04-15,100,5,541
572,Light,2012-04-13,20,5,543
573,Laser Wheel Alignment,2012-04-16,20,4,545
574,Air con,2012-04-14,100,1,547
575,Regular maintenance,2012-04-23,50,5,549
576,Sensors,2012-04-28,100,5,551
577,On board computer,2012-04-15,20,2,553
578,Engine Breakdown,2012-04-17,100,2,555
579,Body Paint,2012-04-21,20,4,557
580,Pre-NCT,2012-04-12,20,2,559
581,Steering,2012-04-13,50,1,561
582,Steering,2012-04-24,50,3,563
583,Tires,2012-04-08,50,3,565
584,Air con,2012-04-08,100,2,567
585,Tires,2012-04-26,50,5,569
586,Steering,2012-04-17,50,3,571
587,Panel Beating,2012-04-27,50,3,573
588,On board computer,2012-04-14,20,5,575
589,Battery,2012-04-24,20,3,577
590,Body Paint,2012-04-29,20,4,579
591,Regular maintenance,2012-04-24,50,5,581
592,Transmission,2012-04-22,50,4,583
593,Lock,2012-04-10,20,4,585
594,Breaks,2012-04-28,100,2,587
595,GPS,2012-04-25,100,3,589
596,Security System,2012-04-21,50,3,591
597,Sensors,2012-04-23,100,4,593
598,Gearbox,2012-04-15,20,2,595
599,Body Paint,2012-04-08,20,1,597
600,Security System,2012-04-08,50,1,599
601,Security System,2012-04-16,50,2,1
602,Sensors,2012-04-18,100,1,3
603,Exhaust,2012-05-01,100,4,5
604,Saftey Bag,2012-04-22,50,3,7
605,Light,2012-04-09,20,1,9
606,GPS,2012-04-27,100,2,11
607,Body Part Replacement,2012-04-25,100,3,13
608,Pre-NCT,2012-04-09,20,3,15
609,Regular maintenance,2012-04-10,50,4,17
610,Light,2012-04-10,20,1,19
611,Regular maintenance,2012-04-24,50,1,21
612,Security System,2012-04-12,50,4,23
613,Security System,2012-04-10,50,1,25
614,Engine Breakdown,2012-04-15,100,4,27
615,Engine Breakdown,2012-04-20,100,2,29
616,Air con,2012-04-26,100,1,31
617,Lock,2012-04-23,20,5,33
618,Body Part Replacement,2012-04-11,100,2,35
619,GPS,2012-04-23,100,3,37
620,Body Paint,2012-04-15,20,5,39
621,Regular maintenance,2012-04-27,50,2,41
622,Light,2012-04-22,20,2,43
623,Body Part Replacement,2012-04-26,100,3,45
624,Air con,2012-04-25,100,5,47
625,Regular maintenance,2012-04-30,50,5,49
626,GPS,2012-04-11,100,4,51
627,Transmission,2012-04-19,50,4,53
628,Electronics Electric Circuits,2012-04-18,50,3,55
629,Body Paint,2012-04-28,20,3,57
630,Body Paint,2012-04-29,20,4,59
631,Laser Wheel Alignment,2012-04-30,20,5,61
632,Electronics Electric Circuits,2012-04-14,50,5,63
633,Air con,2012-04-30,100,4,65
634,Lock,2012-04-19,20,3,67
635,Exhaust,2012-04-28,100,1,69
636,Light,2012-04-09,20,5,71
637,GPS,2012-04-30,100,1,73
638,Exhaust,2012-04-13,100,4,75
639,Pre-NCT,2012-04-18,20,4,77
640,Body Part Replacement,2012-04-11,100,3,79
641,Body Paint,2012-04-17,20,4,81
642,GPS,2012-04-26,100,3,83
643,Panel Beating,2012-04-16,50,2,85
644,GPS,2012-04-09,100,5,87
645,Saftey Bag,2012-04-12,50,4,89
646,Exhaust,2012-04-15,100,1,91
647,Electronics Electric Circuits,2012-04-25,50,4,93
648,GPS,2012-04-28,100,2,95
649,Sensors,2012-04-14,100,5,97
650,Pre-NCT,2012-05-01,20,5,99
651,Panel Beating,2012-04-17,50,5,101
652,Engine Breakdown,2012-04-14,100,1,103
653,Sensors,2012-04-17,100,2,105
654,GPS,2012-04-19,100,5,107
655,Steering,2012-04-10,50,5,109
656,Saftey Bag,2012-04-20,50,1,111
657,Saftey Bag,2012-04-14,50,1,113
